Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;4;Stride;0.04;-;2.15;2.01;379;-1.32 (L) ;9.64 (B) ;;1.09;
;-4;Stride;0.01;-;0.3;1.15;443;5.16 (R) ;-10.37 (F) ;;0.14;
;-3;Stride;0.16;-;4.34;3.32;377;8.58 (R) ;-0.08 (F) ;;3.04;
;-2;Stride;0.03;-;3.33;1.85;363;7.08 (R) ;10.24 (B) ;;2.81;
;-1;Stride;0.04;-;2.15;2.01;379;-1.32 (L) ;9.64 (B) ;;1.09;
8c;18;Jump;-;1.91;6.48;4.23;330;6.37 (R) ;undefined ;32.87;3.65;
;1;Stride;0.02;-;0.55;2.51;410;11.86 (R) ;-27.71 (F) ;;0.93;
;2;Stride;0.02;-;2.41;2.05;344;3.32 (R) ;-3.71 (F) ;;1.34;
;3;Stride;0.06;-;2.31;1.04;330;-2.47 (L) ;-5.16 (F) ;;0.39;
;4;Stride;0.06;-;2.91;1.82;388;1.73 (R) ;-10.62 (F) ;;1.12;
;5;Stride;0.09;-;3.88;2.97;456;4.45 (R) ;-13.54 (F) ;;1.79;
;-5;Stride;0.07;-;3.29;3.21;402;6.54 (R) ;1.97 (B) ;;3.54;
;-4;Stride;0.16;-;5.11;3.18;426;7.63 (R) ;1.51 (B) ;;4.82;
;-3;Stride;0.06;-;2.62;1.87;392;2.17 (R) ;2.68 (B) ;;0.94;
;-2;Stride;0.04;-;2.91;4.14;425;4.73 (R) ;-3.93 (F) ;;1.96;
;-1;Stride;0.05;-;3.16;2.69;486;10.5 (R) ;-2.53 (F) ;;1.86;
9;19;Jump;-;1.73;8.4;5.25;462;12.47 (R) ;undefined ;30.07;9.45;
;1;Stride;0.03;-;2.09;1.89;447;6.63 (R) ;-1.95 (F) ;;1.23;
;2;Stride;0.06;-;3.2;2.48;377;-1.22 (L) ;0.55 (B) ;;1.99;
;3;Stride;0.09;-;3.05;2.38;374;0.31 (R) ;3.16 (B) ;;2.1;
;4;Stride;0.1;-;3.2;3.18;384;5.36 (R) ;4.06 (B) ;;2.51;
;5;Stride;0.11;-;3.01;4.43;402;7.89 (R) ;1.47 (B) ;;2.61;
;-5;Stride;0.03;-;2.09;1.89;447;6.63 (R) ;-1.95 (F) ;;1.23;
;-4;Stride;0.06;-;3.2;2.48;377;-1.22 (L) ;0.55 (B) ;;1.99;
;-3;Stride;0.09;-;3.05;2.38;374;0.31 (R) ;3.16 (B) ;;2.1;
;-2;Stride;0.1;-;3.2;3.18;384;5.36 (R) ;4.06 (B) ;;2.51;
;-1;Stride;0.11;-;3.01;4.43;402;7.89 (R) ;1.47 (B) ;;2.61;
10a;20;Jump;-;1.68;6.94;6.48;417;8.61 (R) ;undefined ;30.74;6.17;
;1;Stride;0.07;-;2.24;3.06;394;-3.36 (L) ;-11.7 (F) ;;1;
;2;Stride;0.1;-;2.86;2.51;365;-0.17 (L) ;-7.39 (F) ;;1.45;
;3;Stride;0.23;-;3.84;5.21;360;-0.92 (L) ;3.51 (B) ;;3.72;
;4;Stride;0.16;-;3.49;2.49;381;4.35 (R) ;2.24 (B) ;;2.12;
;5;Stride;0.13;-;3.32;2.21;391;1.76 (R) ;-0.37 (F) ;;1.27;
;-5;Stride;0.16;-;3.49;2.49;381;4.35 (R) ;2.24 (B) ;;2.12;
