Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
1176;619.89;580 ms;3.2 G;canter;413 m/min;10 cm;3.99 m;R;11.6 º (R);2.7 º (B);1897.35;
1177;620.4;510 ms;2.4 G;canter;432 m/min;10 cm;3.68 m;R;12 º (R);-1.1 º (F);1274.24;
1178;620.96;560 ms;3 G;canter;419 m/min;15 cm;3.91 m;R;12.8 º (R);1.9 º (B);1656.12;
1179;621.42;460 ms;3.3 G;canter;405 m/min;8 cm;3.1 m;R;12.4 º (R);-2.9 º (F);1187.93;
1180;621.95;530 ms;3 G;canter;405 m/min;12 cm;3.58 m;R;12.1 º (R);-2.3 º (F);1771.65;
1181;622.47;520 ms;2.9 G;canter;411 m/min;13 cm;3.56 m;R;9.5 º (R);-2.5 º (F);1378.34;
1182;622.99;520 ms;2.9 G;canter;444 m/min;10 cm;3.85 m;R;12.4 º (R);-4.2 º (F);1535.87;
1183;623.5;510 ms;2.8 G;canter;472 m/min;10 cm;4.02 m;R;9.4 º (R);-3.5 º (F);1355.78;
1184;624.05;550 ms;2.9 G;canter;511 m/min;14 cm;4.68 m;R;3.6 º (R);-3.3 º (F);1992.57;
1185;624.54;490 ms;3.4 G;canter;555 m/min;12 cm;4.53 m;R;1.2 º (R);-7.6 º (F);2027.43;
1186;625.08;540 ms;3.7 G;canter;595 m/min;15 cm;5.36 m;S;0.6 º (R);-6.9 º (F);2777.24;
1187;625.6;520 ms;3.4 G;canter;599 m/min;14 cm;5.2 m;R;1.9 º (R);-7.8 º (F);2496.53;
1188;626.16;560 ms;3.9 G;canter;589 m/min;15 cm;5.5 m;R;3 º (R);-4.9 º (F);3231.71;
1189;626.75;590 ms;3.1 G;canter;583 m/min;21 cm;5.73 m;S;1 º (R);-1.2 º (F);2258.36;
1190;627.23;480 ms;2.9 G;canter;594 m/min;13 cm;4.76 m;S;2.4 º (R);-2.6 º (F);2192.59;
1191;627.69;460 ms;2.5 G;canter;532 m/min;8 cm;4.08 m;S;3.7 º (R);0 º (F);1181.36;
1192;628.07;380 ms;2.4 G;canter;510 m/min;6 cm;3.23 m;R;7.3 º (R);-0.2 º (F);949.29;
1193;629.45;270 ms;2.9 G;canter;543 m/min;2 cm;2.44 m;R;9.4 º (R);-0.1 º (F);1318.7;
1194;629.94;490 ms;3.1 G;canter;497 m/min;5 cm;4.06 m;S;0.3 º (R);2.4 º (B);1437.16;
1195;630.44;500 ms;1.9 G;canter;531 m/min;8 cm;4.42 m;S;-1.1 º (L);-0.4 º (F);1466.54;
1196;630.91;470 ms;2.1 G;canter;554 m/min;9 cm;4.34 m;S;0.6 º (R);-2.4 º (F);1600.09;
1197;631.43;520 ms;2.6 G;canter;587 m/min;10 cm;5.09 m;S;-0.8 º (L);-2.8 º (F);1991.94;
1198;631.97;540 ms;2.6 G;canter;580 m/min;13 cm;5.22 m;S;-1.5 º (L);-0.9 º (F);2375.12;
1199;632.47;500 ms;2.5 G;canter;583 m/min;13 cm;4.86 m;S;-0.4 º (L);-1.8 º (F);2188.51;
1200;632.97;500 ms;2.8 G;canter;586 m/min;12 cm;4.88 m;L;-4.4 º (L);-4.3 º (F);2533.93;
1201;633.55;580 ms;3 G;canter;567 m/min;17 cm;5.48 m;L;-6.4 º (L);-0.2 º (F);2625.46;
1202;634.04;490 ms;2.4 G;canter;555 m/min;12 cm;4.53 m;L;-2.4 º (L);-1.2 º (F);1482.15;
1203;634.58;540 ms;2.9 G;canter;527 m/min;16 cm;4.74 m;L;-2.7 º (L);0.2 º (B);1937.67;
1204;635.11;530 ms;2.4 G;canter;511 m/min;15 cm;4.51 m;L;-3.9 º (L);-0.4 º (F);1500.25;
1205;635.68;570 ms;2.5 G;canter;487 m/min;18 cm;4.63 m;L;-5.1 º (L);1.6 º (B);2096.81;
1206;636.22;540 ms;3.1 G;canter;470 m/min;17 cm;4.23 m;L;-3.9 º (L);1.8 º (B);1573.63;
1207;636.77;550 ms;2.6 G;canter;457 m/min;15 cm;4.19 m;L;-3.4 º (L);3.2 º (B);2001.87;
1208;637.29;520 ms;2.6 G;canter;480 m/min;14 cm;4.16 m;S;-1.2 º (L);2.5 º (B);1582.73;
1209;637.77;480 ms;2 G;canter;489 m/min;8 cm;3.91 m;S;1.4 º (R);0.5 º (B);1129.5;
1210;638.3;530 ms;2.7 G;canter;496 m/min;6 cm;4.38 m;S;1.8 º (R);4.1 º (B);1375.62;
1211;638.63;330 ms;2.6 G;canter;494 m/min;6 cm;2.72 m;R;8.1 º (R);0 º (F);819.6;
1212;639.76;90 ms;5.7 G;canter;549 m/min;6 cm;0.82 m;R;5.1 º (R);-29.2 º (F);2423.43;
1213;640.53;770 ms;3.1 G;canter;569 m/min;13 cm;7.3 m;S;-3.2 º (L);-1 º (F);2813.34;
1214;641.07;540 ms;2.9 G;canter;508 m/min;16 cm;4.58 m;S;-4.4 º (L);3.7 º (B);2481.81;
1215;641.56;490 ms;2 G;canter;466 m/min;13 cm;3.81 m;L;-4.7 º (L);4.2 º (B);1361.83;
1216;642.1;540 ms;2.3 G;canter;448 m/min;11 cm;4.03 m;S;-3.5 º (L);2 º (B);1796.24;
1217;642.49;390 ms;2.3 G;canter;466 m/min;4 cm;3.03 m;L;-2 º (L);0.7 º (B);905.78;
1218;642.93;440 ms;2.9 G;canter;482 m/min;7 cm;3.54 m;S;3.8 º (R);2.3 º (B);1322.06;
1219;644.3;260 ms;2.6 G;canter;487 m/min;2 cm;2.11 m;R;2.1 º (R);0.5 º (B);1416.89;
1220;644.7;400 ms;3.1 G;canter;400 m/min;5 cm;2.67 m;R;7.3 º (R);3.9 º (B);1320.67;
1221;646.11;270 ms;1.5 G;canter;473 m/min;1 cm;2.13 m;S;4.2 º (R);1.1 º (B);1053.17;
1222;646.6;490 ms;2.1 G;canter;468 m/min;4 cm;3.83 m;R;11.8 º (R);4.5 º (B);1472.04;
1223;647.05;450 ms;1.9 G;canter;520 m/min;3 cm;3.9 m;R;13.5 º (R);1.1 º (B);829.36;
1224;647.56;510 ms;2.9 G;canter;463 m/min;6 cm;3.94 m;R;7.5 º (R);3.1 º (B);1424.97;
1225;648.06;500 ms;4 G;canter;503 m/min;9 cm;4.19 m;R;5.7 º (R);1.5 º (B);1606.1;
1226;648.58;520 ms;4.2 G;canter;544 m/min;10 cm;4.72 m;R;7.1 º (R);-0.1 º (F);1784.57;
1227;649.05;470 ms;4.2 G;canter;600 m/min;8 cm;4.7 m;R;7.2 º (R);-1.8 º (F);1956.95;
1228;649.65;600 ms;4.1 G;canter;618 m/min;10 cm;6.18 m;R;6.9 º (R);-2.5 º (F);2886.88;
1229;650.15;500 ms;2.7 G;canter;644 m/min;11 cm;5.37 m;R;5.1 º (R);-2.4 º (F);1756.3;
1230;650.7;550 ms;4 G;canter;653 m/min;6 cm;5.99 m;R;10.2 º (R);-3.2 º (F);3553.56;
1231;651.07;370 ms;3.7 G;canter;672 m/min;5 cm;4.15 m;R;9.4 º (R);-0.6 º (F);1121.96;
1232;651.6;530 ms;4.3 G;canter;626 m/min;10 cm;5.53 m;R;9 º (R);-1.6 º (F);2334.42;
1233;652.13;530 ms;3.4 G;canter;622 m/min;9 cm;5.5 m;R;5.9 º (R);-2.3 º (F);3063.77;
1234;652.62;490 ms;3.8 G;canter;623 m/min;10 cm;5.09 m;R;5.6 º (R);-2.3 º (F);2082;
1235;653.18;560 ms;4.9 G;canter;576 m/min;15 cm;5.38 m;R;5.9 º (R);-0.3 º (F);3019.29;
1236;653.66;480 ms;3.7 G;canter;592 m/min;11 cm;4.74 m;R;5.1 º (R);-0.9 º (F);1932.31;
1237;654.15;490 ms;4.5 G;canter;609 m/min;11 cm;4.97 m;R;6 º (R);-1.7 º (F);2314.76;
