Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-3;Stride;0.17;-;4.04;4.48;449;-6.36 (L) ;11.35 (B) ;;2.31;
;-2;Stride;0.12;-;3.16;5;403;-4.09 (L) ;9.74 (B) ;;1.7;
;-1;Stride;0.13;-;2.7;5.54;385;-4.49 (L) ;4.81 (B) ;;2.66;
8a;16;Jump;-;1.67;4.86;5.54;278;-0.81 (L) ;undefined ;43.21;4.96;
;1;Stride;0.09;-;0.63;8.38;290;-10.69 (L) ;-27.87 (F) ;;1.82;
;2;Stride;0.17;-;3.84;3.3;288;-9.4 (L) ;0.71 (B) ;;3.2;
;3;Stride;0.15;-;3;3.08;339;-8.56 (L) ;7.76 (B) ;;1.53;
;4;Stride;0.12;-;2.96;3.31;355;-2.81 (L) ;6.9 (B) ;;1.42;
;5;Stride;0.11;-;2.23;4.94;327;1.57 (R) ;2.4 (B) ;;2.91;
;-5;Stride;0.32;-;4.83;10.01;296;0.83 (R) ;12.74 (B) ;;5.71;
;-4;Stride;0.09;-;2.12;1.85;235;2.45 (R) ;0.54 (B) ;;0.69;
;-3;Stride;0.12;-;2.76;2.03;267;1.82 (R) ;1.8 (B) ;;1.48;
;-2;Stride;0.04;-;1.87;2.2;295;-3.95 (L) ;5.91 (B) ;;1.68;
;-1;Stride;0.18;-;2.52;1.75;244;-6.94 (L) ;15.11 (B) ;;1.25;
8c;17;Jump;-;1.54;3.55;3.45;195;0.25 (R) ;undefined ;35.66;2.34;
;1;Stride;0.03;-;1.49;1.41;288;1.87 (R) ;-17.32 (F) ;;0.67;
;2;Stride;0.08;-;2.22;1.89;222;0;-1.75 (F) ;;0.56;
;3;Stride;0.09;-;2.99;1.73;304;-2.3 (L) ;-10.42 (F) ;;1;
;4;Stride;0.08;-;3.24;3.95;406;-1.38 (L) ;-16.01 (F) ;;0.91;
;5;Stride;0.15;-;4.27;6.18;450;-2.61 (L) ;-10.23 (F) ;;3.51;
;-5;Stride;0.08;-;3.94;2.46;525;3.08 (R) ;-1.6 (F) ;;1.47;
;-4;Stride;0.18;-;4.47;3.62;463;0.46 (R) ;5.38 (B) ;;3.4;
;-3;Stride;0.14;-;3.75;3.43;432;-1.98 (L) ;5.58 (B) ;;1.62;
;-2;Stride;0.12;-;3.27;3.67;409;4.05 (R) ;4.09 (B) ;;1.97;
