Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3708;1953.1;550 ms;2.5 G;canter;467 m/min;14 cm;4.28 m;L;-3.3 º (L);-5.5 º (F);1806.28;
3709;1953.66;560 ms;3.2 G;canter;509 m/min;16 cm;4.75 m;L;-5.5 º (L);-4 º (F);2085.69;
3710;1954.18;520 ms;5.4 G;canter;507 m/min;13 cm;4.39 m;L;-8.8 º (L);-2.6 º (F);2096;
3711;1954.71;530 ms;3.6 G;canter;520 m/min;12 cm;4.59 m;S;-5.3 º (L);-0.8 º (F);1786.05;
3712;1955.18;470 ms;3.8 G;canter;523 m/min;10 cm;4.1 m;S;-2.3 º (L);-1.9 º (F);1934.94;
3713;1955.66;480 ms;3.4 G;canter;524 m/min;14 cm;4.19 m;S;-1 º (L);-2.3 º (F);2305.67;
3714;1956.98;220 ms;2 G;canter;573 m/min;10 cm;2.1 m;S;0 º ;-20.7 º (F);1235.28;
3715;1957.57;590 ms;3.4 G;canter;576 m/min;11 cm;5.67 m;S;2.1 º (R);-5.1 º (F);1808.9;
3716;1958.07;500 ms;3.6 G;canter;599 m/min;9 cm;4.99 m;S;2.8 º (R);-6.4 º (F);1685.33;
3717;1958.6;530 ms;3.9 G;canter;577 m/min;14 cm;5.1 m;S;1.4 º (R);-7.8 º (F);2708.59;
3718;1959.17;570 ms;4.8 G;canter;586 m/min;13 cm;5.57 m;S;-0.3 º (L);-6.9 º (F);2682.32;
3719;1959.66;490 ms;4.7 G;canter;570 m/min;14 cm;4.66 m;S;0.5 º (R);-5.8 º (F);2096.27;
3720;1960.22;560 ms;6.1 G;canter;574 m/min;14 cm;5.36 m;S;0.6 º (R);-5.9 º (F);3829.65;
3721;1960.77;550 ms;4.7 G;canter;551 m/min;14 cm;5.05 m;S;-1 º (L);-6.6 º (F);2173.74;
3722;1961.35;580 ms;5.2 G;canter;549 m/min;17 cm;5.31 m;S;1.6 º (R);-1 º (F);2184.25;
3723;1961.91;560 ms;6.5 G;canter;487 m/min;16 cm;4.55 m;R;9 º (R);-3 º (F);2647.01;
3724;1962.42;510 ms;3.4 G;canter;464 m/min;14 cm;3.95 m;R;10.4 º (R);-3.8 º (F);1608.55;
3725;1963.01;590 ms;3.3 G;canter;477 m/min;21 cm;4.69 m;R;3.6 º (R);-1.9 º (F);2457.56;
3726;1963.58;570 ms;4.7 G;canter;430 m/min;20 cm;4.09 m;R;5.2 º (R);-2.1 º (F);2132.47;
3727;1964.11;530 ms;3.3 G;canter;415 m/min;14 cm;3.66 m;R;10.6 º (R);1 º (B);1716.19;
3728;1964.63;520 ms;2.8 G;canter;420 m/min;16 cm;3.64 m;R;12.7 º (R);4.9 º (B);1262.16;
3729;1965.18;550 ms;3.3 G;canter;420 m/min;13 cm;3.85 m;R;11.2 º (R);2.4 º (B);1578.08;
3730;1965.61;430 ms;2.2 G;canter;442 m/min;10 cm;3.17 m;R;7.9 º (R);-4.3 º (F);960.4;
3731;1966.99;250 ms;2.2 G;canter;481 m/min;7 cm;2 m;L;-4.6 º (L);-16.4 º (F);1073.57;
3732;1967.52;530 ms;2 G;canter;480 m/min;8 cm;4.24 m;S;-0.5 º (L);-2.6 º (F);1465.91;
3733;1968.04;520 ms;2.2 G;canter;519 m/min;9 cm;4.5 m;S;3.3 º (R);-5.6 º (F);1485.52;
3734;1968.57;530 ms;2.8 G;canter;575 m/min;12 cm;5.08 m;R;4.6 º (R);-8.8 º (F);2255.93;
3735;1969.09;520 ms;3.4 G;canter;619 m/min;11 cm;5.36 m;R;6.9 º (R);-8.2 º (F);1765.7;
3736;1969.61;520 ms;4.2 G;canter;612 m/min;13 cm;5.3 m;R;6.7 º (R);-7.7 º (F);2260.16;
3737;1970.14;530 ms;3.9 G;canter;614 m/min;12 cm;5.42 m;R;7.4 º (R);-6.6 º (F);2082.09;
3738;1970.66;520 ms;3.9 G;canter;596 m/min;14 cm;5.16 m;R;6.4 º (R);-5.6 º (F);2231.21;
3739;1971.23;570 ms;4.9 G;canter;600 m/min;16 cm;5.7 m;R;5.9 º (R);-5.6 º (F);3276.09;
3740;1971.72;490 ms;4.8 G;canter;642 m/min;15 cm;5.24 m;R;6.2 º (R);-8.2 º (F);2549.64;
3741;1972.28;560 ms;3.7 G;canter;583 m/min;15 cm;5.44 m;R;4 º (R);-3.2 º (F);2355.78;
3742;1972.82;540 ms;4.5 G;canter;559 m/min;16 cm;5.03 m;R;5.3 º (R);-5.1 º (F);2559.59;
3743;1973.31;490 ms;3.4 G;canter;593 m/min;11 cm;4.84 m;R;4.1 º (R);-6.6 º (F);2087.83;
3744;1973.92;610 ms;4.6 G;canter;516 m/min;19 cm;5.24 m;R;3 º (R);-3.8 º (F);3270.22;
3745;1974.43;510 ms;2.9 G;canter;512 m/min;14 cm;4.35 m;R;5.5 º (R);-3 º (F);1450.9;
