Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-2;Stride;0.13;-;4.29;4.88;525;5.79 (R) ;-1.05 (F) ;;2.6;
;-1;Stride;0.08;-;3.61;3.15;493;3.47 (R) ;0.96 (B) ;;1.59;
7;15;Jump;-;1.61;6.94;3.67;420;3.57 (R) ;undefined ;38.5;6.16;
;1;Stride;0.05;-;1.98;4.45;441;6.21 (R) ;-3.61 (F) ;;2.76;
;2;Stride;0.06;-;3.84;2.75;404;7.76 (R) ;6.97 (B) ;;2.78;
;3;Stride;0.08;-;3.86;2.86;473;10.23 (R) ;1.29 (B) ;;1.68;
;4;Stride;0.1;-;4.2;4.18;475;12.47 (R) ;1.33 (B) ;;2.35;
;5;Stride;0.09;-;4.57;3.49;538;9.38 (R) ;-0.99 (F) ;;2.37;
;-5;Stride;0.17;-;5.05;3.98;541;5.89 (R) ;-6.14 (F) ;;3.96;
;-4;Stride;0.14;-;4.72;3.59;535;3.59 (R) ;-2.66 (F) ;;2.64;
;-3;Stride;0.15;-;4.58;4.44;518;4.52 (R) ;-0.67 (F) ;;3.57;
;-2;Stride;0.11;-;3.89;2.4;497;6.14 (R) ;1.37 (B) ;;1.58;
;-1;Stride;0.1;-;3.69;2.79;471;6.79 (R) ;-0.38 (F) ;;2.71;
8a;16;Jump;-;1.57;6.56;3.66;419;7.28 (R) ;undefined ;38.06;5.25;
;1;Stride;0.06;-;2.2;4.15;425;5.28 (R) ;-2.89 (F) ;;2.39;
;2;Stride;0.1;-;3.67;4.16;424;-1.23 (L) ;6.31 (B) ;;1.95;
;3;Stride;0.13;-;3.98;3.04;426;1.04 (R) ;8.93 (B) ;;2.53;
;4;Stride;0.08;-;2.78;2.71;406;2.43 (R) ;6.46 (B) ;;1.53;
;5;Stride;0.47;-;7.53;3.41;380;1.02 (R) ;14.75 (B) ;;5.69;
;-5;Stride;0.08;-;2.78;2.71;406;2.43 (R) ;6.46 (B) ;;1.53;
;-4;Stride;0.47;-;7.53;3.41;380;1.02 (R) ;14.75 (B) ;;5.69;
;-3;Stride;0.02;-;2.06;1.96;343;11.16 (R) ;4.41 (B) ;;0.55;
;-2;Stride;0.11;-;3.02;3.72;302;0.37 (R) ;16.86 (B) ;;2.76;
;-1;Stride;0;-;0.07;0.3;418;-6.89 (L) ;-29.38 (F) ;;0.02;
8c;17;Jump;-;1.64;6.31;4.28;344;-3.77 (L) ;undefined ;35.97;3.72;
;1;Stride;0.02;-;2.03;2.24;338;6.2 (R) ;-2.03 (F) ;;1.25;
;2;Stride;0.07;-;2.74;1.86;329;2.97 (R) ;-4.05 (F) ;;0.74;
;3;Stride;0.1;-;3.14;2.45;355;-0.13 (L) ;-10.76 (F) ;;0.55;
;4;Stride;0.12;-;3.41;2.16;409;1.39 (R) ;-12.22 (F) ;;0.76;
;5;Stride;0.13;-;3.96;3.57;449;3.98 (R) ;-7.2 (F) ;;2.45;
;-5;Stride;0.14;-;5.06;5.84;562;7.22 (R) ;-3.61 (F) ;;4.43;
;-4;Stride;0.13;-;5.82;3.28;563;11.34 (R) ;-3.74 (F) ;;3.26;
;-3;Stride;0.08;-;3.42;2.69;500;8.49 (R) ;-7.44 (F) ;;1.16;
;-2;Stride;0.12;-;3.77;2.8;481;5.34 (R) ;-7.37 (F) ;;2.98;
;-1;Stride;0;-;0.09;-0.72;526;-1.67 (L) ;-26.77 (F) ;;0;
9;18;Jump;-;1.49;7.24;5.85;457;1.63 (R) ;undefined ;30.49;6.37;
;1;Stride;0.03;-;2.64;2.68;453;1.86 (R) ;-1.37 (F) ;;1.89;
;2;Stride;0.09;-;2.9;2.46;387;3.49 (R) ;-4.61 (F) ;;1.57;
;3;Stride;0.19;-;3.58;4.83;370;8.02 (R) ;2.01 (B) ;;2.96;
;4;Stride;0.14;-;3.5;4.17;404;5.59 (R) ;-2.13 (F) ;;2.29;
;5;Stride;0.15;-;3.52;3.36;423;2.89 (R) ;-5.48 (F) ;;2.72;
;-5;Stride;0.09;-;2.9;2.46;387;3.49 (R) ;-4.61 (F) ;;1.57;
;-4;Stride;0.19;-;3.58;4.83;370;8.02 (R) ;2.01 (B) ;;2.96;
;-3;Stride;0.14;-;3.5;4.17;404;5.59 (R) ;-2.13 (F) ;;2.29;
;-2;Stride;0.15;-;3.52;3.36;423;2.89 (R) ;-5.48 (F) ;;2.72;
;-1;Stride;0;-;0.06;1.93;372;6.38 (R) ;-31.99 (F) ;;0.13;
10a;19;Jump;-;1.45;5.63;5.92;380;4.12 (R) ;undefined ;25.57;4.63;
;1;Stride;0.08;-;2.63;1.56;427;0.29 (R) ;-19.97 (F) ;;0.77;
;2;Stride;0.08;-;3.76;1.66;443;7.39 (R) ;-13.98 (F) ;;1.41;
;3;Stride;0.18;-;4.49;5.62;442;3.44 (R) ;-4.1 (F) ;;2.74;
;4;Stride;0.15;-;4.3;3.33;445;-0.83 (L) ;-3.39 (F) ;;2.33;
;5;Stride;0.11;-;4.19;3.77;457;0.54 (R) ;-2.4 (F) ;;2.37;
;-5;Stride;0.08;-;3.76;1.66;443;7.39 (R) ;-13.98 (F) ;;1.41;
;-4;Stride;0.18;-;4.49;5.62;442;3.44 (R) ;-4.1 (F) ;;2.74;
;-3;Stride;0.15;-;4.3;3.33;445;-0.83 (L) ;-3.39 (F) ;;2.33;
;-2;Stride;0.11;-;4.19;3.77;457;0.54 (R) ;-2.4 (F) ;;2.37;
;-1;Stride;0.13;-;3.82;4.05;458;0.74 (R) ;-4.84 (F) ;;2.18;
10b;20;Jump;-;1.6;6.6;4.52;426;2.12 (R) ;undefined ;34.39;5.16;
;1;Stride;0.08;-;0.85;4.42;424;2.53 (R) ;-25.98 (F) ;;2.49;
;2;Stride;0.05;-;2.6;2.16;410;3.46 (R) ;3.05 (B) ;;2.07;
;3;Stride;0.08;-;3.6;2.67;400;-7.26 (L) ;1.93 (B) ;;2.32;
;4;Stride;0.11;-;3.89;4.18;402;-7.74 (L) ;2.23 (B) ;;2.59;
;5;Stride;0.05;-;2.01;5.37;378;-6.73 (L) ;6 (B) ;;2.77;
;-5;Stride;0.08;-;0.85;4.42;424;2.53 (R) ;-25.98 (F) ;;2.49;
;-4;Stride;0.05;-;2.6;2.16;410;3.46 (R) ;3.05 (B) ;;2.07;
;-3;Stride;0.08;-;3.6;2.67;400;-7.26 (L) ;1.93 (B) ;;2.32;
;-2;Stride;0.11;-;3.89;4.18;402;-7.74 (L) ;2.23 (B) ;;2.59;
;-1;Stride;0.05;-;2.01;5.37;378;-6.73 (L) ;6 (B) ;;2.77;
10c;21;Jump;-;1.62;6.81;4.72;371;5.89 (R) ;undefined ;34.17;5.18;
;1;Stride;0.01;-;2.09;1.41;432;5.95 (R) ;-3.2 (F) ;;1.7;
;2;Stride;0.05;-;3.4;2.01;425;12.82 (R) ;-0.84 (F) ;;1.95;
;3;Stride;0.08;-;3.77;3.36;443;15.75 (R) ;-3.79 (F) ;;1.94;
;4;Stride;0.08;-;4.24;3.94;529;9.23 (R) ;-5.7 (F) ;;2.22;
;5;Stride;0.1;-;4.87;3.09;551;6.06 (R) ;-5.16 (F) ;;2.68;
;-5;Stride;0.16;-;5.38;4.26;597;15.75 (R) ;-8.47 (F) ;;3.84;
;-4;Stride;0.13;-;4.89;3.47;564;14.38 (R) ;-8.42 (F) ;;3.33;
;-3;Stride;0.11;-;5.14;2.77;605;10.23 (R) ;-10.97 (F) ;;2.08;
;-2;Stride;0.16;-;5.57;4.02;597;5.92 (R) ;-7.95 (F) ;;5.21;
;-1;Stride;0.1;-;4.35;2.96;580;4.71 (R) ;-7.88 (F) ;;2.96;
11;22;Jump;-;1.61;8.59;6.74;510;7.2 (R) ;undefined ;32.49;8.5;
;1;Stride;0.05;-;2.64;2.76;586;2.23 (R) ;-4.94 (F) ;;1.9;
;2;Stride;0.08;-;4.83;3.08;518;4.94 (R) ;-2.36 (F) ;;2.03;
;3;Stride;0.12;-;4.82;3.17;567;3.98 (R) ;-8.92 (F) ;;2.51;
;4;Stride;0.14;-;5.25;4.97;605;1.68 (R) ;-7.81 (F) ;;2.93;
;5;Stride;0.14;-;5.72;3.12;624;-4.1 (L) ;-7.71 (F) ;;3.22;
;-5;Stride;0.09;-;3.83;3.69;459;2.51 (R) ;-5.11 (F) ;;2.11;
;-4;Stride;0.15;-;4.77;4.79;502;1.88 (R) ;-2.84 (F) ;;4.56;
;-3;Stride;0.11;-;4.7;2.91;522;0.17 (R) ;-0.43 (F) ;;2.63;
;-2;Stride;0.15;-;4.17;3.63;481;-2.22 (L) ;-0.62 (F) ;;2.63;
;-1;Stride;0.05;-;2.87;2.4;465;1.79 (R) ;-6.21 (F) ;;1.57;
12a;23;Jump;-;1.67;8.27;7.14;482;-1.08 (L) ;undefined ;33.82;7.47;
;1;Stride;0.04;-;2.27;2.35;545;-1.72 (L) ;-8.24 (F) ;;1.24;
;2;Stride;0.05;-;4;2.22;462;-3.6 (L) ;-0.54 (F) ;;1.85;
;3;Stride;0.1;-;3.76;3.07;479;0.02 (R) ;-3.21 (F) ;;1.82;
;-3;Stride;0.04;-;2.27;2.35;545;-1.72 (L) ;-8.24 (F) ;;1.24;
;-2;Stride;0.05;-;4;2.22;462;-3.6 (L) ;-0.54 (F) ;;1.85;
;-1;Stride;0.1;-;3.76;3.07;479;0.02 (R) ;-3.21 (F) ;;1.82;
12b;24;Jump;-;1.51;7.5;4.4;464;0.54 (R) ;undefined ;32.6;6.9;
;1;Stride;0.02;-;1.47;2.15;551;-2.81 (L) ;-16 (F) ;;1.32;
;2;Stride;0.08;-;5.74;3.92;514;-1.27 (L) ;-0.63 (F) ;;3.26;
